Location,Nestbox,Species,Year,Wing.Chord,Sex,ID,Mass,SMI,logwing,logmass,Bander,Elevation
SGR,SGR-148,MOCH,2022,69,M,POX42022,11.5,11.37542034,4.234106505,2.442347035,WCA,2522.22
MRS,MRS-209,MOCH,2022,71,M,291054063,13,12.63340639,4.262679877,2.564949357,WCA,2874.264
MRS,MRS-185,MOCH,2022,66,F,291054269,11,11.18483455,4.189654742,2.397895273,WCA,2895.6
MRS,MRS-88,MOCH,2022,69,M,291054243,11.5,11.37542034,4.234106505,2.442347035,WCA,2892.552
MRS,MRS-049,MOCH,2022,70,M,12022,12,11.76459919,4.248495242,2.48490665,MEL,2994.66
MRS,MRS-044,MOCH,2021,69,M,291054241,11.5,11.37542034,4.234106505,2.442347035,ANT,3060.192
SGR,SGR-146,MOCH,2021,69,M,291053941,12,11.87000384,4.234106505,2.48490665,ANT,2537.46
SGR,SGR-150,MOCH,2021,70,M,291054257,12.5,12.25479082,4.248495242,2.525728644,ANT,2522.22
SGR,SGR-154,MOCH,2021,71,M,291053950,11,10.6898054,4.262679877,2.397895273,ANT,2537.46
SGR,SGR-175 ,MOCH,2021,72,M,POX42021,11,10.59752465,4.276666119,2.397895273,ANT,2522.22
SGR,SGR-176,MOCH,2021,70,M,291053980,11,10.78421592,4.248495242,2.397895273,ANT,2522.22
SGR,SGR-187,MOCH,2021,69,M,POX52021,10,9.891669864,4.234106505,2.302585093,MEL,2468.88
SGR,SGR-207,MOCH,2021,69,M,291054012,11,10.88083685,4.234106505,2.397895273,MEL,2491.74
SGR,SGR-214,MOCH,2021,69,M,POX32021,12,11.87000384,4.234106505,2.48490665,ANT,2491.74
SGR,SGR-222,MOCH,2021,67,M,291053989,11,11.08105421,4.204692619,2.397895273,ANT,2514.6
SGR,SGR-234,MOCH,2021,68,M,POX12021,11.5,11.4788328,4.219507705,2.442347035,MEL,2514.6
BLD,BLD-367,MOCH,2020,73,M,283032093,11,10.50729701,4.290459441,2.397895273,KCG,1798.32
SGR,SGR-236,MOCH,2020,71,M,283032100,12,11.6616059,4.262679877,2.48490665,KCG,2491.74
BLD,BLD-161,MOCH,2019,68,M,283031951,12,11.97791249,4.219507705,2.48490665,KCG,1653.54
BLD,BLD-334,MOCH,2019,71,M,283031954,12,11.6616059,4.262679877,2.48490665,KCG,1691.64
BLD,BLD-389,MOCH,2023,68,F,297010958,12,11.97791249,4.219507705,2.48490665,HLK,1813.56
BLD,BLD-161,MOCH,2023,64,F,297010703,10,10.36385191,4.158883083,2.302585093,WCA,1653.54
NED,NED-361,MOCH,2023,65,F,297010746,11,11.29119376,4.17438727,2.397895273,WCA,2560.32
MRS,MRS-86,MOCH,2023,65,F,297010782,12,12.31766592,4.17438727,2.48490665,,2964.18
MRS,MRS-60,MOCH,2023,67,F,297010787,11.5,11.5847385,4.204692619,2.442347035,WCA,3090.672
MRS,MRS-80,MOCH,2023,67,F,297010789,12,12.08842278,4.204692619,2.48490665,WCA,3060.192
SGR,SGR-171,MOCH,2023,66,M,297010848,10.5,10.67643298,4.189654742,2.351375257,NCA,2522.22
SGR,SGR-172,MOCH,2023,66,F,297010849,10,10.16803141,4.189654742,2.302585093,NCA,2522.22
MRS,MRS-55,MOCH,2023,68,F,297010875,11,10.97975311,4.219507705,2.397895273,HLK,3002.28
NED,NED-404,MOCH,2023,67,F,297010876,12,12.08842278,4.204692619,2.48490665,,2590.8
NED,NED-342,MOCH,2023,67,F,297010933,11,11.08105421,4.204692619,2.397895273,HLK,2493.264
SGR,SGR-222,MOCH,2023,65,F,297010947,12,12.31766592,4.17438727,2.48490665,HLK,2519.172
SGR,SGR-156,MOCH,2023,64,F,297010960,10.5,10.88204451,4.158883083,2.351375257,HLK,2537.46
MRS,MRS-50,MOCH,2023,67,F,297091504,15,15.11052847,4.204692619,2.708050201,HLK,3176.016
MRS,MRS-48,MOCH,2023,67,F,297010985,15,15.11052847,4.204692619,2.708050201,AMP,3206.496
MRS,MRS-79,MOCH,2023,66,F,297091505,11,11.18483455,4.189654742,2.397895273,HLK,3017.52
MRS,MRS-29,MOCH,2023,66,F,297091529,12,12.20163769,4.189654742,2.48490665,SAT,3343.656
MRS,MRS-67,MOCH,2023,65,F,297091532,11,11.29119376,4.17438727,2.397895273,HLK,3340.608
MRS,MRS-57,MOCH,2023,66,F,297091540,11,11.18483455,4.189654742,2.397895273,HLK,3014.472
BLD,BLD-274,MOCH,2023,66,F,301041016,12,12.20163769,4.189654742,2.48490665,WCA,2929.128
MRS,MRS-38,MOCH,2023,67,F,301041023,11.5,11.5847385,4.204692619,2.442347035,WCA,3017.52
MRS,MRS-59,MOCH,2023,67,F,301041025,11.5,11.5847385,4.204692619,2.442347035,WCA,2999.232
MRS,MRS-83,MOCH,2023,65,F,301041053,10,10.2647216,4.17438727,2.302585093,WCA,2962.656
SGR,SGR-151,MOCH,2023,64,F,301041065,10.5,10.88204451,4.158883083,2.351375257,WCA,2522.22
SGR,SGR-169,MOCH,2022,66,F,291054122,11,11.18483455,4.189654742,2.397895273,WCA,2529.84
SGR,SGR-186,MOCH,2022,66,F,209037446,12,12.20163769,4.189654742,2.48490665,MEL,2468.88
SGR,SGR-200,MOCH,2022,65,F,291054131,11,11.29119376,4.17438727,2.397895273,NCA,2491.74
SGR,SGR-171,MOCH,2022,67,F,297010636,11,11.08105421,4.204692619,2.397895273,MEL,2522.22
SGR,SGR-189,MOCH,2022,66,F,297010639,10.5,10.67643298,4.189654742,2.351375257,MEL,2468.88
SGR,SGR-146,MOCH,2022,62,F,291054144,11,11.62682783,4.127134385,2.397895273,NCA,2535.936
SGR,SGR-163,MOCH,2022,65,F,291054147,10,10.2647216,4.17438727,2.302585093,NCA,2522.22
SGR,SGR-148,MOCH,2022,64,F,297010695,11.25,11.6593334,4.158883083,2.420368129,WCA,2522.22
MRS,MRS-209,MOCH,2022,66,F,294018399,11.5,11.69323612,4.189654742,2.442347035,WCA,2874.264
MRS,MRS-185,MOCH,2022,73,F,294018398,11,10.50729701,4.290459441,2.397895273,WCA,2895.6
MRS,MRS-88,MOCH,2022,66,F,283031960,11.5,11.69323612,4.189654742,2.442347035,WCA,2892.552
MRS,MRS-049,MOCH,2022,66,F,291054155,10.5,10.67643298,4.189654742,2.351375257,MEL,2994.66
MRS,MRS-044,MOCH,2021,66,F,291054242,11,11.18483455,4.189654742,2.397895273,ANT,3060.192
SGR,SGR-146,MOCH,2021,66,F,291053942,10.5,10.67643298,4.189654742,2.351375257,ANT,2537.46
SGR,SGR-150,MOCH,2021,63,F,291054258,11.5,12.03535205,4.143134726,2.442347035,ANT,2522.22
SGR,SGR-154,MOCH,2021,70,F,291053951,12.5,12.25479082,4.248495242,2.525728644,ANT,2537.46
SGR,SGR-175 ,MOCH,2021,65,F,291054236,12,12.31766592,4.17438727,2.48490665,ANT,2522.22
SGR,SGR-176,MOCH,2021,67,F,291053960,11,11.08105421,4.204692619,2.397895273,MEL,2522.22
SGR,SGR-187,MOCH,2021,65,F,291054259,10.5,10.77795768,4.17438727,2.351375257,ANT,2468.88
SGR,SGR-207,MOCH,2021,71,F,POX22021,12.5,12.14750614,4.262679877,2.525728644,MEL,2491.74
SGR,SGR-214,MOCH,2021,65,F,291054231,12.5,12.830902,4.17438727,2.525728644,ANT,2491.74
