Location,Nestbox,Species,Year,Male.Wing.Chord,Male.Tarsus,Male.Bill,Male.Weight,Male.BillHead,Male.ID,Female.Wing.Chord,Female.Tarsus,Female.Bill,Female.Weight,Female.BillHead,Female.ID,Wing_Difference,Tarsus_Difference,Bill_Difference,Weight_Difference,Wing_Difference_Category,BillHead_Difference,Egg_Number,Nestling_Number,Avg_Nestling_Weight,Egg_Nestling_Diff,Pair.ID,Avg.Wing,Avg.Tarsus,Avg.Weight,Avg.Nestling.Wing,Avg.Nestling.Tarsus,MaleBander,FemaleBander,Elevation,Male_SMI,Female_SMI,male.logwing,female.logwing,male.logmass,female.logmass,First.Egg,Provisioning,Group
SGR,SGR-156,MOCH,2023,67,18.5,9,13,30.5,297010959,64,16.5,9.2,10.5,29.4,297010960,3,2,-0.2,2.5,Slightly,1.1,7,6,12.2,1,297010959-297010960,65.5,17.5,11.75,29.6,17.04,HLK,HLK,2537.46,13.09579134,10.88204451,4.204692619,4.158883083,2.564949357,2.351375257,151,,SGRU
MRS,MRS-50,MOCH,2023,69,17.1,8.4,12.5,29.5,297010983,67,16.1,9.7,15,30,297091504,2,1,-1.3,-2.5,Slightly,-0.5,7,5,10.8,2,297010983-297091504,68,16.6,13.75,33,15.28,AMP,HLK,3176.016,12.36458733,15.11052847,4.234106505,4.204692619,2.525728644,2.708050201,152,,FORP
MRS,MRS-48,MOCH,2023,71,18.4,8.3,10.5,29.2,297010984,67,16.1,9.7,15,30,297010985,4,2.3,-1.4,-4.5,Much,-0.8,9,8,11.25,1,297010984-297010985,69,17.25,12.75,32.25,17.2,AMP,AMP,3206.496,10.20390516,15.11052847,4.262679877,4.204692619,2.351375257,2.708050201,150,,FORP
MRS,MRS-79,MOCH,2023,67,16.9,8.5,12,29.8,297091506,66,17.6,8.9,11,29.9,297091505,1,-0.7,-0.4,1,Slightly,-0.1,8,7,11.64,1,297091506-297091505,66.5,17.25,11.5,35.14285714,17.38571429,HLK,HLK,3017.52,12.08842278,11.18483455,4.204692619,4.189654742,2.48490665,2.397895273,154,,CONE
MRS,MRS-29,MOCH,2023,70,17.7,9.1,12,30.2,297091531,66,16.7,9.2,12,29.8,297091529,4,1,-0.1,0,Much,0.4,7,6,12.25,1,297091531-297091529,68,17.2,12,35.83333333,17.23333333,HLK,SAT,3343.656,11.76459919,12.20163769,4.248495242,4.189654742,2.48490665,2.48490665,158,,CAGA
MRS,MRS-67,MOCH,2023,67,17.2,9.2,12,30.1,297091530,65,16.8,9,11,29.6,297091532,2,0.4,0.2,1,Slightly,0.5,6,5,12.2,1,297091530-297091532,66,17,11.5,32.2,17.12,HLK,HLK,3340.608,12.08842278,11.29119376,4.204692619,4.17438727,2.48490665,2.397895273,161,,CAGA
MRS,MRS-57,MOCH,2023,69,16.6,9.1,12,30.2,297091538,66,17.2,8.3,11,29.1,297091540,3,-0.6,0.8,1,Slightly,1.1,4,2,12,2,297091538-297091540,67.5,16.9,11.5,30.5,16.5,HLK,HLK,3014.472,11.87000384,11.18483455,4.234106505,4.189654742,2.48490665,2.397895273,159,,CONE
MRS,BLD-274,MOCH,2023,68,15.6,8.6,11.5,31.2,301041015,66,15.5,8.3,12,28.8,301041016,2,0.1,0.3,-0.5,Slightly,2.4,6,6,12.58,0,301041015-301041016,67,15.55,11.75,33.83333333,16.41666667,WCA,WCA,2929.128,11.4788328,12.20163769,4.219507705,4.189654742,2.442347035,2.48490665,151,,MRS
MRS,MRS-38,MOCH,2023,68,16.1,8.6,11,29.6,301041022,67,17.1,9.1,11.5,29.8,301041023,1,-1,-0.5,-0.5,Slightly,-0.2,8,8,11.69,0,301041022-301041023,67.5,16.6,11.25,29,15.4,WCA,WCA,3017.52,10.97975311,11.5847385,4.219507705,4.204692619,2.397895273,2.442347035,151,,CONE
MRS,MRS-59,MOCH,2023,69,15.3,8.2,11,29.3,301041024,67,15,9.5,11.5,29.8,301041025,2,0.3,-1.3,-0.5,Slightly,-0.5,7,7,11.83,0,301041024-301041025,68,15.15,11.25,35.28571429,16.11428571,WCA,WCA,2999.232,10.88083685,11.5847385,4.234106505,4.204692619,2.397895273,2.442347035,152,,CONE
